Case Number,Case,Year,Offence,Outcome
56,Case 56 - APPEAL,2001/02,Forgery of Documents,Grade Assignment of 0 for course
56,Case 56 - APPEAL,2001/02,Forgery of Documents,Notation on transcript
56,Case 56 - APPEAL,2001/02,Forgery of Documents,Suspension
56,Case 56 - APPEAL,2001/02,Impersonation,Grade Assignment of 0 for course
56,Case 56 - APPEAL,2001/02,Impersonation,Notation on transcript
56,Case 56 - APPEAL,2001/02,Impersonation,Suspension
56,Case 56,2000/01,Impersonation,Grade Assignment of 0 for course
56,Case 56,2000/01,Impersonation,Notation on transcript
56,Case 56,2000/01,Impersonation,Suspension
59,Case 59,2000/01,Impersonation,Expulsion
61,Case 61,2000/01,Unauthorized aid,Acquittal
63,Case 63 - APPEAL,2000/01,Plagiarism and/or purchased essay,Acquittal
362,Case 362,2005/06,Plagiarism and/or purchased essay,Expulsion
362,Case 362,2005/06,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
362,Case 362,2005/06,Plagiarism and/or purchased essay,Notation on transcript
362,Case 362,2005/06,Unauthorized aid,Expulsion
362,Case 362,2005/06,Unauthorized aid,Grade Assignment of 0 for course
362,Case 362,2005/06,Unauthorized aid,Notation on transcript
365,Case 365,2005/06,Unauthorized aid,Grade Assignment of 0 for course
365,Case 365,2005/06,Unauthorized aid,Notation on transcript
365,Case 365,2005/06,Unauthorized aid,Suspension
367,Case 367,2005/06,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
367,Case 367,2005/06,Creating false data and/or fabricating academic sources,Notation on transcript
367,Case 367,2005/06,Creating false data and/or fabricating academic sources,Suspension
367,Case 367,2005/06,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
367,Case 367,2005/06,Plagiarism and/or purchased essay,Notation on transcript
367,Case 367,2005/06,Plagiarism and/or purchased essay,Suspension
404,Case 404,2008/09,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
404,Case 404,2008/09,Plagiarism and/or purchased essay,Notation on transcript
404,Case 404,2008/09,Plagiarism and/or purchased essay,Suspension
410,Case 410,2007/08,Plagiarism and/or purchased essay,Expulsion
410,Case 410,2007/08,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
410,Case 410,2007/08,Plagiarism and/or purchased essay,Notation on transcript
410,Case 410,2007/08,Unauthorized aid,Expulsion
410,Case 410,2007/08,Unauthorized aid,Grade Assignment of 0 for course
410,Case 410,2007/08,Unauthorized aid,Notation on transcript
417,Case 417,2005/06,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
417,Case 417,2005/06,Plagiarism and/or purchased essay,Notation on transcript
417,Case 417,2005/06,Plagiarism and/or purchased essay,Suspension
428,Case 428,2006/07,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
428,Case 428,2006/07,Creating false data and/or fabricating academic sources,Notation on transcript
428,Case 428,2006/07,Creating false data and/or fabricating academic sources,Suspension
428,Case 428,2006/07,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
428,Case 428,2006/07,Plagiarism and/or purchased essay,Notation on transcript
428,Case 428,2006/07,Plagiarism and/or purchased essay,Suspension
451,CASE 451 - APPEAL,2007/08,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
451,CASE 451 - APPEAL,2007/08,Creating false data and/or fabricating academic sources,Notation on transcript
451,CASE 451 - APPEAL,2007/08,Creating false data and/or fabricating academic sources,Suspension
451,Case 451 - Appeal,2007/08,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
451,CASE 451 - APPEAL,2007/08,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
451,CASE 451 - APPEAL,2007/08,Plagiarism and/or purchased essay,Notation on transcript
451,CASE 451 - APPEAL,2007/08,Plagiarism and/or purchased essay,Suspension
456,Case 456,2007/08,Creating false data and/or fabricating academic sources,Degree suspension or recall
456,Case 456,2007/08,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
456,Case 456,2007/08,Creating false data and/or fabricating academic sources,Notation on transcript
462,Case 462,2005/06,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
462,Case 462,2005/06,Creating false data and/or fabricating academic sources,Notation on transcript
462,Case 462,2005/06,Creating false data and/or fabricating academic sources,Suspension
464,Case 464,2009/10,Plagiarism and/or purchased essay,Expulsion
464,Case 464,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
464,Case 464,2009/10,Plagiarism and/or purchased essay,Suspension
465,Case 465,2007/08,Impersonation,Grade Assignment of 0 for course
465,Case 465,2007/08,Impersonation,Notation on transcript
465,Case 465,2007/08,Impersonation,Suspension
465,Case 465,2007/08,Unauthorized aid,Grade Assignment of 0 for course
465,Case 465,2007/08,Unauthorized aid,Notation on transcript
465,Case 465,2007/08,Unauthorized aid,Suspension
466,Case 466,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
466,Case 466,2009/10,Plagiarism and/or purchased essay,Notation on transcript
466,Case 466,2009/10,Plagiarism and/or purchased essay,Suspension
479,Case 479,2008/09,Unauthorized aid,Expulsion
481,Case 481,2007/08,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
481,Case 481,2007/08,Plagiarism and/or purchased essay,Notation on transcript
481,Case 481,2007/08,Plagiarism and/or purchased essay,Suspension
487,Case 487,2007/08,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
487,Case 487,2007/08,Creating false data and/or fabricating academic sources,Notation on transcript
487,Case 487,2007/08,Creating false data and/or fabricating academic sources,Suspension
487,Case 487,2007/08,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
487,Case 487,2007/08,Plagiarism and/or purchased essay,Notation on transcript
487,Case 487,2007/08,Plagiarism and/or purchased essay,Suspension
488,Case 488,2007/08,Creating false data and/or fabricating academic sources,Grade Assignment of 0 for course
488,Case 488,2007/08,Creating false data and/or fabricating academic sources,Notation on transcript
488,Case 488,2007/08,Creating false data and/or fabricating academic sources,Suspension
488,Case 488,2007/08,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
488,Case 488,2007/08,Plagiarism and/or purchased essay,Notation on transcript
488,Case 488,2007/08,Plagiarism and/or purchased essay,Suspension
495,CASE 495,2010/11,Plagiarism and/or purchased essay,Expulsion
495,CASE 495,2010/11,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
495,CASE 495,2010/11,Plagiarism and/or purchased essay,Suspension
495,Case 495,2008/09,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
495,Case 495,2008/09,Plagiarism and/or purchased essay,Notation on transcript
495,Case 495,2008/09,Plagiarism and/or purchased essay,Suspension
497,Case 497 - Appeal . . . Case 497,2008/09,Academic Dishonesty Not Otherwise Described,Acquittal
497,Case 497 - Appeal . . . Case 497,2008/09,Unauthorized aid,Acquittal
498,CASE 498,2009/10,Forgery of Documents,Expulsion
498,CASE 498,2009/10,Forgery of Documents,Grade Assignment of 0 for course
498,CASE 498,2009/10,Forgery of Documents,Suspension
499,Case 499,2008/09,Unauthorized aid,Grade Assignment of 0 for course
499,Case 499,2008/09,Unauthorized aid,Notation on transcript
501,Case 501,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
501,Case 501,2009/10,Plagiarism and/or purchased essay,Notation on transcript
501,Case 501,2009/10,Plagiarism and/or purchased essay,Suspension
504,Case 504,2008/09,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
504,Case 504,2008/09,Plagiarism and/or purchased essay,Notation on transcript
504,Case 504,2008/09,Plagiarism and/or purchased essay,Suspension
504,Case 504,2008/09,Unauthorized aid,Grade Assignment of 0 for course
504,Case 504,2008/09,Unauthorized aid,Notation on transcript
504,Case 504,2008/09,Unauthorized aid,Suspension
512,Case 512 � APPEAL,2006/07,Plagiarism and/or purchased essay,Acquittal
513,Case 513 - APPEAL,2006/07,Forgery of Documents,Grade Assignment of 0 for course
513,Case 513 - APPEAL,2006/07,Forgery of Documents,Suspension
515,Case 515,2009/10,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
515,Case 515,2009/10,Plagiarism and/or purchased essay,Notation on transcript
515,Case 515,2009/10,Plagiarism and/or purchased essay,Suspension
516,Case 516,2008/09,Forgery of Documents,Expulsion
516,Case 516,2008/09,Forgery of Documents,Grade Assignment of 0 for course
516,Case 516,2008/09,Forgery of Documents,Notation on transcript
520,Case 520,2009/10,Academic Dishonesty Not Otherwise Described,Expulsion
520,Case 520,2009/10,Academic Dishonesty Not Otherwise Described,Grade Assignment of 0 for course
520,Case 520,2009/10,Academic Dishonesty Not Otherwise Described,Notation on transcript
521,Case 521,2008/09,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
521,Case 521,2008/09,Plagiarism and/or purchased essay,Notation on transcript
521,Case 521,2008/09,Plagiarism and/or purchased essay,Suspension
524,Case 524,2008/09,Plagiarism and/or purchased essay,Grade Assignment of 0 for course
524,Case 524,2008/09,Plagiarism and/or purchased essay,Notation on transcript
524,Case 524,2008/09,Plagiarism and/or purchased essay,Suspension
527,Case 527,2008/09,Unauthorized aid,Grade Assignment of 0 for course
527,Case 527,2008/09,Unauthorized aid,Notation on transcript
527,Case 527,2008/09,Unauthorized aid,Suspension
528,Case 528 - Motion Decision,2009/10,Forgery of Academic Records,Acquittal
528,Case 528 - SANCTION,2009/10,Forgery of Academic Records,Notation on transcript
528,Case 528 - SANCTION,2009/10,Forgery of Academic Records,Suspension
